Data;Hora;Descricao;Valor;Saldo
10/04/2026;09:01;VINCULO E2E 01;-10,01;999,99
10/04/2026;09:02;VINCULO E2E 02;-10,02;989,97
10/04/2026;09:03;VINCULO E2E 03;-10,03;979,94
10/04/2026;09:04;VINCULO E2E 04;-10,04;969,90
10/04/2026;09:05;VINCULO E2E 05;-10,05;959,85
10/04/2026;09:06;VINCULO E2E 06;-10,06;949,79
10/04/2026;09:07;VINCULO E2E 07;-10,07;939,72
10/04/2026;09:08;VINCULO E2E 08;-10,08;929,64
10/04/2026;09:09;VINCULO E2E 09;-10,09;919,55
10/04/2026;09:10;VINCULO E2E 10;-10,10;909,45
10/04/2026;09:11;VINCULO E2E 11;-10,11;899,34
10/04/2026;09:12;VINCULO E2E 12;-10,12;889,22
